dataset,image_path,label,split,source_split,is_math,width,height,timesteps,label_len,ctc_feasible
expanded,expanded/images/sample_0024.png,Deep Neural Nets for Sequence Modeling,train,,0,368,32,92,38,1
expanded,expanded/images/sample_0025.png,Information Science and Engineering,train,,0,351,32,87,35,1
expanded,expanded/images/sample_0026.png,Low Resource Domain Adaptation Test,test,,0,284,32,71,35,1
expanded,expanded/images/sample_0027.png,Multi Column Layout Analysis and Extraction,train,,0,355,32,88,43,1
expanded,expanded/images/sample_0028.png,Archival Manuscript Digitization Project,train,,0,322,32,80,40,1
expanded,expanded/images/sample_0029.png,NMAMIT Nitte Campus Research Project,train,,0,317,32,79,36,1
expanded,expanded/images/sample_0030.png,Department of Information Science Archives,train,,0,381,32,95,42,1
expanded,expanded/images/sample_0031.png,Multi Column Layout Analysis and Extraction,train,,0,445,32,111,43,1
expanded,expanded/images/sample_0032.png,Optical Character Recognition Engine,test,,0,287,32,71,36,1
expanded,expanded/images/sample_0033.png,Multi Column Layout Analysis and Extraction,train,,0,381,32,95,43,1
expanded,expanded/images/sample_0034.png,Multi Modal Document Processing Pipeline,train,,0,362,32,90,40,1
expanded,expanded/images/sample_0035.png,Resolution Degradation and Ink Bleed Repair,train,,0,440,32,110,43,1
expanded,expanded/images/sample_0036.png,Character Error Rate and Word Error Rate,train,,0,355,32,88,40,1
expanded,expanded/images/sample_0037.png,Vision Transformer Pretrained Decoder,train,,0,351,32,87,37,1
expanded,expanded/images/sample_0038.png,Lab Notebook Experiment Records 2026,train,,0,289,32,72,36,1
expanded,expanded/images/sample_0039.png,int (1 / x) dx = ln|x| + C,train,,0,178,32,44,26,1
expanded,expanded/images/sample_0040.png,int (1 / x) dx = ln|x| + C,train,,0,205,32,51,26,1
expanded,expanded/images/sample_0041.png,a^2 + b^2 = c^2,train,,0,182,32,45,15,1
expanded,expanded/images/sample_0042.png,Convolutional Neural Network Architecture,train,,0,379,32,94,41,1
expanded,expanded/images/sample_0043.png,d/dx (e^x) = e^x,train,,0,173,32,43,16,1
expanded,expanded/images/sample_0044.png,Historical Document Machine Translation,train,,0,368,32,92,39,1
expanded,expanded/images/sample_0045.png,Connectionist Temporal Classification Loss,test,,0,392,32,98,42,1
expanded,expanded/images/sample_0046.png,Bidirectional Long Short Term Memory,train,,0,305,32,76,36,1
expanded,expanded/images/sample_0047.png,Feature Map Extraction ResNet Backbone,valid,,0,338,32,84,38,1
expanded,expanded/images/sample_0048.png,P(A|B) = P(B|A)P(A) / P(B),train,,0,226,32,56,26,1
expanded,expanded/images/sample_0049.png,Ancient Text Restoration and OCR,test,,0,269,32,67,32,1
expanded,expanded/images/sample_0050.png,Archival Manuscript Digitization Project,train,,0,370,32,92,40,1
expanded,expanded/images/sample_0051.png,Character and Word Error Rate Metrics,train,,0,369,32,92,37,1
expanded,expanded/images/sample_0052.png,Binarization and Deskewing Enhancement,valid,,0,389,32,97,38,1
expanded,expanded/images/sample_0053.png,Ancient Text Restoration and OCR,test,,0,311,32,77,32,1
expanded,expanded/images/sample_0054.png,e^(i * pi) + 1 = 0,train,,0,127,32,31,18,1
expanded,expanded/images/sample_0055.png,Artificial Intelligence and Machine Learning,train,,0,371,32,92,44,1
expanded,expanded/images/sample_0056.png,Quick Brown Fox Jumps Over Lazy Dog,train,,0,371,32,92,35,1
expanded,expanded/images/sample_0057.png,Data Augmentation and Noise Invariance,train,,0,364,32,91,38,1
expanded,expanded/images/sample_0058.png,Deep Learning Pattern Recognition,train,,0,365,32,91,33,1
expanded,expanded/images/sample_0059.png,Self Supervised Representation Learning,test,,0,340,32,85,39,1
expanded,expanded/images/sample_0060.png,Self Supervised Representation Learning,test,,0,441,32,110,39,1
expanded,expanded/images/sample_0061.png,sqrt{x^2 + y^2} <= |x| + |y|,test,,0,221,32,55,28,1
expanded,expanded/images/sample_0062.png,Resolution Degradation and Ink Bleed Repair,train,,0,411,32,102,43,1
expanded,expanded/images/sample_0063.png,Low Resource Domain Adaptation Test,test,,0,330,32,82,35,1
expanded,expanded/images/sample_0064.png,Character Error Rate and Word Error Rate,train,,0,411,32,102,40,1
expanded,expanded/images/sample_0065.png,Computer Vision Image Processing Task,train,,0,352,32,88,37,1
expanded,expanded/images/sample_0066.png,Resolution Degradation and Ink Bleed Repair,train,,0,422,32,105,43,1
expanded,expanded/images/sample_0067.png,int (1 / x) dx = ln|x| + C,train,,0,189,32,47,26,1
expanded,expanded/images/sample_0068.png,Self Supervised Representation Learning,test,,0,305,32,76,39,1
expanded,expanded/images/sample_0069.png,Autonomous Document Digitization System,train,,0,380,32,95,39,1
expanded,expanded/images/sample_0070.png,Artificial Intelligence and Machine Learning,train,,0,328,32,82,44,1
expanded,expanded/images/sample_0071.png,SimCLR Contrastive Pretraining Framework,train,,0,349,32,87,40,1
expanded,expanded/images/sample_0072.png,Faded Ink and Paper Background Noise,train,,0,312,32,78,36,1
expanded,expanded/images/sample_0073.png,E = m * c ^ 2,valid,,0,128,32,32,13,1
expanded,expanded/images/sample_0074.png,Research Meeting Notes on Transformer Models,valid,,0,330,32,82,44,1
expanded,expanded/images/sample_0075.png,Archival Manuscript Digitization Project,train,,0,487,32,121,40,1
expanded,expanded/images/sample_0076.png,Statistical Data Analysis and Findings,train,,0,292,32,73,38,1
expanded,expanded/images/sample_0077.png,Research Meeting Notes on Transformer Models,valid,,0,410,32,102,44,1
expanded,expanded/images/sample_0078.png,Ancient Text Restoration and OCR,test,,0,349,32,87,32,1
expanded,expanded/images/sample_0079.png,Low Resource Domain Adaptation Test,test,,0,288,32,72,35,1
expanded,expanded/images/sample_0080.png,Multi Modal Document Processing Pipeline,train,,0,413,32,103,40,1
expanded,expanded/images/sample_0081.png,NMAMIT Nitte Campus Research Project,train,,0,333,32,83,36,1
expanded,expanded/images/sample_0082.png,sum_{i=1}^n i = n(n+1)/2,train,,1,209,32,52,24,1
expanded,expanded/images/sample_0083.png,Information Science and Engineering,train,,0,326,32,81,35,1
expanded,expanded/images/sample_0084.png,Character Error Rate and Word Error Rate,train,,0,376,32,94,40,1
expanded,expanded/images/sample_0085.png,Resolution Degradation and Ink Bleed Repair,train,,0,325,32,81,43,1
expanded,expanded/images/sample_0086.png,Adaptive Histogram Equalization Filtering,test,,0,402,32,100,41,1
expanded,expanded/images/sample_0087.png,Research Meeting Notes on Transformer Models,valid,,0,396,32,99,44,1
expanded,expanded/images/sample_0088.png,L_{CTC} = - ln P(y | x),test,,1,194,32,48,23,1
expanded,expanded/images/sample_0089.png,Handwritten Note Extraction Sample,valid,,0,302,32,75,34,1
expanded,expanded/images/sample_0090.png,lim_{x->0} (sin x / x) = 1,train,,1,196,32,49,26,1
expanded,expanded/images/sample_0091.png,Multi Modal Document Processing Pipeline,train,,0,343,32,85,40,1
expanded,expanded/images/sample_0092.png,sum_{i=1}^n i = n(n+1)/2,train,,1,220,32,55,24,1
expanded,expanded/images/sample_0093.png,Optical Character Recognition Engine,test,,0,349,32,87,36,1
expanded,expanded/images/sample_0094.png,NMAMIT Nitte Campus Research Project,train,,0,391,32,97,36,1
expanded,expanded/images/sample_0095.png,Bidirectional Long Short Term Memory,train,,0,263,32,65,36,1
expanded,expanded/images/sample_0096.png,Artificial Intelligence and Machine Learning,train,,0,376,32,94,44,1
expanded,expanded/images/sample_0097.png,alpha_t = exp(e_t) / sum exp(e_j),train,,0,270,32,67,33,1
expanded,expanded/images/sample_0098.png,f(x) = int_0^inf e^(-x^2) dx,test,,0,257,32,64,28,1
expanded,expanded/images/sample_0099.png,Natural Language Processing Word Embeddings,train,,0,390,32,97,43,1
expanded,expanded/images/sample_0100.png,Convolutional Neural Network Architecture,train,,0,459,32,114,41,1
expanded,expanded/images/sample_0101.png,Data Augmentation and Noise Invariance,train,,0,360,32,90,38,1
expanded,expanded/images/sample_0102.png,P(A|B) = P(B|A)P(A) / P(B),train,,0,190,32,47,26,1
expanded,expanded/images/sample_0103.png,Low Resource Domain Adaptation Test,test,,0,268,32,67,35,1
expanded,expanded/images/sample_0104.png,Character and Word Error Rate Metrics,train,,0,368,32,92,37,1
expanded,expanded/images/sample_0105.png,Curved Text Line Sequence Recognition,train,,0,355,32,88,37,1
expanded,expanded/images/sample_0106.png,Self Supervised Representation Learning,test,,0,439,32,109,39,1
expanded,expanded/images/sample_0107.png,Low Latency Edge Device Deployment,valid,,0,382,32,95,34,1
expanded,expanded/images/sample_0108.png,Ancient Text Restoration and OCR,test,,0,285,32,71,32,1
expanded,expanded/images/sample_0109.png,Connectionist Temporal Classification Loss,test,,0,375,32,93,42,1
expanded,expanded/images/sample_0110.png,Deep Neural Nets for Sequence Modeling,train,,0,369,32,92,38,1
expanded,expanded/images/sample_0111.png,Deep Neural Nets for Sequence Modeling,train,,0,314,32,78,38,1
expanded,expanded/images/sample_0112.png,Adaptive Histogram Equalization Filtering,test,,0,432,32,108,41,1
expanded,expanded/images/sample_0113.png,a^2 + b^2 = c^2,train,,0,155,32,38,15,1
expanded,expanded/images/sample_0114.png,Bidirectional Long Short Term Memory,train,,0,348,32,87,36,1
expanded,expanded/images/sample_0115.png,Automated Form Processing and Digitization,valid,,0,382,32,95,42,1
expanded,expanded/images/sample_0116.png,Deep Learning Pattern Recognition,train,,0,346,32,86,33,1
expanded,expanded/images/sample_0117.png,Low Latency Edge Device Deployment,valid,,0,362,32,90,34,1
expanded,expanded/images/sample_0118.png,Lab Notebook Experiment Records 2026,train,,0,359,32,89,36,1
expanded,expanded/images/sample_0119.png,Multi Modal Document Processing Pipeline,train,,0,333,32,83,40,1
expanded,expanded/images/sample_0120.png,det(A - lambda * I) = 0,train,,0,189,32,47,23,1
expanded,expanded/images/sample_0121.png,Adaptive Histogram Equalization Filtering,test,,0,298,32,74,41,1
expanded,expanded/images/sample_0122.png,Self Supervised Representation Learning,test,,0,313,32,78,39,1
expanded,expanded/images/sample_0123.png,Statistical Data Analysis and Findings,train,,0,375,32,93,38,1
expanded,expanded/images/sample_0124.png,Century Old Heritage Print Preservation,train,,0,353,32,88,39,1
expanded,expanded/images/sample_0125.png,Information Science and Engineering,train,,0,285,32,71,35,1
expanded,expanded/images/sample_0126.png,Low Resource Domain Adaptation Test,test,,0,381,32,95,35,1
expanded,expanded/images/sample_0127.png,Bidirectional Long Short Term Memory,train,,0,342,32,85,36,1
expanded,expanded/images/sample_0128.png,Information Science and Engineering,train,,0,275,32,68,35,1
expanded,expanded/images/sample_0129.png,frac{d}{dx} [sin(x)] = cos(x),train,,0,257,32,64,29,1
expanded,expanded/images/sample_0130.png,Character Error Rate and Word Error Rate,train,,0,454,32,113,40,1
expanded,expanded/images/sample_0131.png,Bidirectional Long Short Term Memory,train,,0,302,32,75,36,1
expanded,expanded/images/sample_0132.png,Resolution Degradation and Ink Bleed Repair,train,,0,432,32,108,43,1
expanded,expanded/images/sample_0133.png,Historical Document Machine Translation,train,,0,514,32,128,39,1
expanded,expanded/images/sample_0134.png,Efficient Text Recognition System,valid,,0,288,32,72,33,1
expanded,expanded/images/sample_0135.png,Autonomous Document Digitization System,train,,0,375,32,93,39,1
expanded,expanded/images/sample_0136.png,sigma(z) = 1 / (1 + e^(-z)),train,,0,187,32,46,27,1
expanded,expanded/images/sample_0137.png,Deep Neural Nets for Sequence Modeling,train,,0,302,32,75,38,1
expanded,expanded/images/sample_0138.png,d/dx (e^x) = e^x,train,,0,167,32,41,16,1
expanded,expanded/images/sample_0139.png,alpha_t = exp(e_t) / sum exp(e_j),train,,0,237,32,59,33,1
expanded,expanded/images/sample_0140.png,Department of Information Science Archives,train,,0,332,32,83,42,1
expanded,expanded/images/sample_0141.png,Low Latency Edge Device Deployment,valid,,0,290,32,72,34,1
expanded,expanded/images/sample_0142.png,Computer Vision Image Processing Task,train,,0,352,32,88,37,1
expanded,expanded/images/sample_0143.png,Adaptive Histogram Equalization Filtering,test,,0,378,32,94,41,1
expanded,expanded/images/sample_0144.png,Gradient Descent Backpropagation Optimizer,train,,0,368,32,92,42,1
expanded,expanded/images/sample_0145.png,Statistical Data Analysis and Findings,train,,0,344,32,86,38,1
expanded,expanded/images/sample_0146.png,a^2 + b^2 = c^2,train,,0,166,32,41,15,1
expanded,expanded/images/sample_0147.png,Autonomous Document Digitization System,train,,0,358,32,89,39,1
expanded,expanded/images/sample_0148.png,Low Resource Domain Adaptation Test,test,,0,365,32,91,35,1
expanded,expanded/images/sample_0149.png,Natural Language Processing Word Embeddings,train,,0,420,32,105,43,1
expanded,expanded/images/sample_0150.png,det(A - lambda * I) = 0,train,,0,230,32,57,23,1
expanded,expanded/images/sample_0151.png,int (1 / x) dx = ln|x| + C,train,,0,229,32,57,26,1
expanded,expanded/images/sample_0152.png,Resolution Degradation and Ink Bleed Repair,train,,0,442,32,110,43,1
expanded,expanded/images/sample_0153.png,Natural Language Processing Word Embeddings,train,,0,429,32,107,43,1
expanded,expanded/images/sample_0154.png,d/dx (e^x) = e^x,train,,0,147,32,36,16,1
expanded,expanded/images/sample_0155.png,Historical Document Machine Translation,train,,0,340,32,85,39,1
expanded,expanded/images/sample_0156.png,Gradient Descent Backpropagation Optimizer,train,,0,379,32,94,42,1
expanded,expanded/images/sample_0157.png,Vision Transformer Pretrained Decoder,train,,0,428,32,107,37,1
expanded,expanded/images/sample_0158.png,Character Error Rate and Word Error Rate,train,,0,427,32,106,40,1
expanded,expanded/images/sample_0159.png,NMAMIT Nitte Campus Research Project,train,,0,364,32,91,36,1
expanded,expanded/images/sample_0160.png,Automated Form Processing and Digitization,valid,,0,355,32,88,42,1
expanded,expanded/images/sample_0161.png,Multi Modal Document Processing Pipeline,train,,0,318,32,79,40,1
expanded,expanded/images/sample_0162.png,Resolution Degradation and Ink Bleed Repair,train,,0,330,32,82,43,1
expanded,expanded/images/sample_0163.png,frac{d}{dx} [sin(x)] = cos(x),train,,0,226,32,56,29,1
expanded,expanded/images/sample_0164.png,Character and Word Error Rate Metrics,train,,0,305,32,76,37,1
expanded,expanded/images/sample_0165.png,alpha_t = exp(e_t) / sum exp(e_j),train,,0,311,32,77,33,1
expanded,expanded/images/sample_0166.png,Autonomous Document Digitization System,train,,0,339,32,84,39,1
expanded,expanded/images/sample_0167.png,Convolutional Neural Network Architecture,train,,0,455,32,113,41,1
expanded,expanded/images/sample_0168.png,Bidirectional Long Short Term Memory,train,,0,354,32,88,36,1
expanded,expanded/images/sample_0169.png,Optical Character Recognition Engine,test,,0,272,32,68,36,1
expanded,expanded/images/sample_0170.png,Historical Document Machine Translation,train,,0,388,32,97,39,1
expanded,expanded/images/sample_0171.png,Century Old Heritage Print Preservation,train,,0,338,32,84,39,1
expanded,expanded/images/sample_0172.png,Autonomous Document Digitization System,train,,0,405,32,101,39,1
expanded,expanded/images/sample_0173.png,NMAMIT Nitte Campus Research Project,train,,0,307,32,76,36,1
expanded,expanded/images/sample_0174.png,det(A - lambda * I) = 0,train,,0,210,32,52,23,1
expanded,expanded/images/sample_0175.png,Gradient Descent Backpropagation Optimizer,train,,0,334,32,83,42,1
expanded,expanded/images/sample_0176.png,Bidirectional Long Short Term Memory,train,,0,326,32,81,36,1
expanded,expanded/images/sample_0177.png,Automated Form Processing and Digitization,valid,,0,427,32,106,42,1
expanded,expanded/images/sample_0178.png,Automated Form Processing and Digitization,valid,,0,379,32,94,42,1
expanded,expanded/images/sample_0179.png,Efficient Text Recognition System,valid,,0,315,32,78,33,1
expanded,expanded/images/sample_0180.png,lim_{x->0} (sin x / x) = 1,train,,1,191,32,47,26,1
expanded,expanded/images/sample_0181.png,Multi Modal Document Processing Pipeline,train,,0,386,32,96,40,1
expanded,expanded/images/sample_0182.png,L_{CTC} = - ln P(y | x),test,,1,205,32,51,23,1
expanded,expanded/images/sample_0183.png,Data Augmentation and Noise Invariance,train,,0,286,32,71,38,1
expanded,expanded/images/sample_0184.png,Ancient Text Restoration and OCR,test,,0,312,32,78,32,1
expanded,expanded/images/sample_0185.png,Century Old Heritage Print Preservation,train,,0,332,32,83,39,1
expanded,expanded/images/sample_0186.png,Century Old Heritage Print Preservation,train,,0,362,32,90,39,1
expanded,expanded/images/sample_0187.png,Multi Column Layout Analysis and Extraction,train,,0,328,32,82,43,1
expanded,expanded/images/sample_0188.png,Gradient Descent Backpropagation Optimizer,train,,0,471,32,117,42,1
expanded,expanded/images/sample_0189.png,x^2 + y^2 = z^2,train,,0,175,32,43,15,1
expanded,expanded/images/sample_0190.png,e^(i * pi) + 1 = 0,train,,0,177,32,44,18,1
expanded,expanded/images/sample_0191.png,Autonomous Document Digitization System,train,,0,390,32,97,39,1
expanded,expanded/images/sample_0192.png,Low Resource Domain Adaptation Test,test,,0,371,32,92,35,1
expanded,expanded/images/sample_0193.png,Vision Transformer Pretrained Decoder,train,,0,324,32,81,37,1
expanded,expanded/images/sample_0194.png,Quick Brown Fox Jumps Over Lazy Dog,train,,0,324,32,81,35,1
expanded,expanded/images/sample_0195.png,det(A - lambda * I) = 0,train,,0,223,32,55,23,1
expanded,expanded/images/sample_0196.png,Connectionist Temporal Classification Loss,test,,0,374,32,93,42,1
expanded,expanded/images/sample_0197.png,lim_{x->0} (sin x / x) = 1,train,,1,244,32,61,26,1
expanded,expanded/images/sample_0198.png,Century Old Heritage Print Preservation,train,,0,301,32,75,39,1
expanded,expanded/images/sample_0199.png,sum_{i=1}^n i = n(n+1)/2,train,,1,206,32,51,24,1
expanded,expanded/images/sample_0200.png,Resolution Degradation and Ink Bleed Repair,train,,0,346,32,86,43,1
expanded,expanded/images/sample_0201.png,Historical Document Machine Translation,train,,0,444,32,111,39,1
expanded,expanded/images/sample_0202.png,Curved Text Line Sequence Recognition,train,,0,304,32,76,37,1
expanded,expanded/images/sample_0203.png,Archival Manuscript Digitization Project,train,,0,290,32,72,40,1
expanded,expanded/images/sample_0204.png,lim_{x->0} (sin x / x) = 1,train,,1,200,32,50,26,1
expanded,expanded/images/sample_0205.png,Curved Text Line Sequence Recognition,train,,0,328,32,82,37,1
expanded,expanded/images/sample_0206.png,Deep Learning Pattern Recognition,train,,0,316,32,79,33,1
expanded,expanded/images/sample_0207.png,Research Meeting Notes on Transformer Models,valid,,0,459,32,114,44,1
expanded,expanded/images/sample_0208.png,Deep Neural Nets for Sequence Modeling,train,,0,295,32,73,38,1
expanded,expanded/images/sample_0209.png,lim_{x->0} (sin x / x) = 1,train,,1,203,32,50,26,1
expanded,expanded/images/sample_0210.png,a^2 + b^2 = c^2,train,,0,200,32,50,15,1
expanded,expanded/images/sample_0211.png,frac{d}{dx} [sin(x)] = cos(x),train,,0,294,32,73,29,1
expanded,expanded/images/sample_0212.png,Multi Modal Document Processing Pipeline,train,,0,415,32,103,40,1
expanded,expanded/images/sample_0213.png,Data Augmentation and Noise Invariance,train,,0,365,32,91,38,1
expanded,expanded/images/sample_0214.png,Faded Ink and Paper Background Noise,train,,0,345,32,86,36,1
expanded,expanded/images/sample_0215.png,Natural Language Processing Word Embeddings,train,,0,369,32,92,43,1
expanded,expanded/images/sample_0216.png,Self Supervised Representation Learning,test,,0,289,32,72,39,1
expanded,expanded/images/sample_0217.png,Quick Brown Fox Jumps Over Lazy Dog,train,,0,320,32,80,35,1
expanded,expanded/images/sample_0218.png,Multi Column Layout Analysis and Extraction,train,,0,349,32,87,43,1
expanded,expanded/images/sample_0219.png,Bidirectional Long Short Term Memory,train,,0,388,32,97,36,1
expanded,expanded/images/sample_0220.png,Convolutional Neural Network Architecture,train,,0,439,32,109,41,1
expanded,expanded/images/sample_0221.png,Data Augmentation and Noise Invariance,train,,0,304,32,76,38,1
expanded,expanded/images/sample_0222.png,Character Error Rate and Word Error Rate,train,,0,384,32,96,40,1
expanded,expanded/images/sample_0223.png,Adaptive Histogram Equalization Filtering,test,,0,316,32,79,41,1
expanded,expanded/images/sample_0224.png,Feature Map Extraction ResNet Backbone,valid,,0,331,32,82,38,1
expanded,expanded/images/sample_0225.png,Convolutional Neural Network Architecture,train,,0,358,32,89,41,1
expanded,expanded/images/sample_0226.png,Gradient Descent Backpropagation Optimizer,train,,0,336,32,84,42,1
expanded,expanded/images/sample_0227.png,Computer Vision Image Processing Task,train,,0,348,32,87,37,1
expanded,expanded/images/sample_0228.png,NMAMIT Nitte Campus Research Project,train,,0,325,32,81,36,1
expanded,expanded/images/sample_0229.png,Century Old Heritage Print Preservation,train,,0,362,32,90,39,1
expanded,expanded/images/sample_0230.png,NMAMIT Nitte Campus Research Project,train,,0,324,32,81,36,1
expanded,expanded/images/sample_0231.png,Convolutional Neural Network Architecture,train,,0,418,32,104,41,1
expanded,expanded/images/sample_0232.png,Artificial Intelligence and Machine Learning,train,,0,348,32,87,44,1
expanded,expanded/images/sample_0233.png,Natural Language Processing Word Embeddings,train,,0,417,32,104,43,1
expanded,expanded/images/sample_0234.png,Department of Information Science Archives,train,,0,314,32,78,42,1
expanded,expanded/images/sample_0235.png,Data Augmentation and Noise Invariance,train,,0,327,32,81,38,1
expanded,expanded/images/sample_0236.png,int (1 / x) dx = ln|x| + C,train,,0,214,32,53,26,1
expanded,expanded/images/sample_0237.png,Vision Transformer Pretrained Decoder,train,,0,409,32,102,37,1
expanded,expanded/images/sample_0238.png,Deep Learning Pattern Recognition,train,,0,271,32,67,33,1
expanded,expanded/images/sample_0239.png,f(x) = int_0^inf e^(-x^2) dx,test,,0,220,32,55,28,1
expanded,expanded/images/sample_0240.png,nabla x B = mu_0 * (J + epsilon_0 * dE/dt),train,,0,337,32,84,42,1
expanded,expanded/images/sample_0241.png,Optical Character Recognition Engine,test,,0,321,32,80,36,1
expanded,expanded/images/sample_0242.png,Handwritten Note Extraction Sample,valid,,0,328,32,82,34,1
expanded,expanded/images/sample_0243.png,Research Meeting Notes on Transformer Models,valid,,0,492,32,123,44,1
expanded,expanded/images/sample_0244.png,Low Latency Edge Device Deployment,valid,,0,290,32,72,34,1
expanded,expanded/images/sample_0245.png,Vision Transformer Pretrained Decoder,train,,0,396,32,99,37,1
expanded,expanded/images/sample_0246.png,Supervised Fine Tuning on Labeled Data,valid,,0,279,32,69,38,1
expanded,expanded/images/sample_0247.png,Computer Vision Image Processing Task,train,,0,353,32,88,37,1
expanded,expanded/images/sample_0248.png,Deep Learning Pattern Recognition,train,,0,296,32,74,33,1
expanded,expanded/images/sample_0249.png,Low Latency Edge Device Deployment,valid,,0,329,32,82,34,1
expanded,expanded/images/sample_0250.png,Information Science and Engineering,train,,0,331,32,82,35,1
expanded,expanded/images/sample_0251.png,Optical Character Recognition Engine,test,,0,370,32,92,36,1
expanded,expanded/images/sample_0252.png,d/dx (e^x) = e^x,train,,0,152,32,38,16,1
expanded,expanded/images/sample_0253.png,NMAMIT Nitte Campus Research Project,train,,0,347,32,86,36,1
expanded,expanded/images/sample_0254.png,Character Error Rate and Word Error Rate,train,,0,410,32,102,40,1
expanded,expanded/images/sample_0255.png,Department of Information Science Archives,train,,0,431,32,107,42,1
expanded,expanded/images/sample_0256.png,Binarization and Deskewing Enhancement,valid,,0,297,32,74,38,1
expanded,expanded/images/sample_0257.png,x^2 + y^2 = z^2,train,,0,148,32,37,15,1
expanded,expanded/images/sample_0258.png,Natural Language Processing Word Embeddings,train,,0,379,32,94,43,1
expanded,expanded/images/sample_0259.png,Feature Map Extraction ResNet Backbone,valid,,0,313,32,78,38,1
expanded,expanded/images/sample_0260.png,Character and Word Error Rate Metrics,train,,0,418,32,104,37,1
expanded,expanded/images/sample_0261.png,a^2 + b^2 = c^2,train,,0,196,32,49,15,1
expanded,expanded/images/sample_0262.png,Optical Character Recognition Engine,test,,0,346,32,86,36,1
expanded,expanded/images/sample_0263.png,Binarization and Deskewing Enhancement,valid,,0,366,32,91,38,1
expanded,expanded/images/sample_0264.png,Low Resource Domain Adaptation Test,test,,0,271,32,67,35,1
expanded,expanded/images/sample_0265.png,Artificial Intelligence and Machine Learning,train,,0,330,32,82,44,1
expanded,expanded/images/sample_0266.png,P(A|B) = P(B|A)P(A) / P(B),train,,0,203,32,50,26,1
expanded,expanded/images/sample_0267.png,Information Science and Engineering,train,,0,311,32,77,35,1
expanded,expanded/images/sample_0268.png,Ancient Text Restoration and OCR,test,,0,409,32,102,32,1
expanded,expanded/images/sample_0269.png,Faded Ink and Paper Background Noise,train,,0,386,32,96,36,1
expanded,expanded/images/sample_0270.png,Adaptive Histogram Equalization Filtering,test,,0,361,32,90,41,1
expanded,expanded/images/sample_0271.png,Lab Notebook Experiment Records 2026,train,,0,356,32,89,36,1
expanded,expanded/images/sample_0272.png,Low Resource Domain Adaptation Test,test,,0,307,32,76,35,1
expanded,expanded/images/sample_0273.png,Bidirectional Long Short Term Memory,train,,0,282,32,70,36,1
expanded,expanded/images/sample_0274.png,SimCLR Contrastive Pretraining Framework,train,,0,450,32,112,40,1
expanded,expanded/images/sample_0275.png,e^(i * pi) + 1 = 0,train,,0,154,32,38,18,1
expanded,expanded/images/sample_0276.png,Statistical Data Analysis and Findings,train,,0,308,32,77,38,1
expanded,expanded/images/sample_0277.png,det(A - lambda * I) = 0,train,,0,241,32,60,23,1
expanded,expanded/images/sample_0278.png,Bidirectional Long Short Term Memory,train,,0,321,32,80,36,1
expanded,expanded/images/sample_0279.png,SimCLR Contrastive Pretraining Framework,train,,0,368,32,92,40,1
expanded,expanded/images/sample_0280.png,x^2 + y^2 = z^2,train,,0,131,32,32,15,1
