image_path,label
images\sample_0065.png,Connectionist Temporal Classification
images\sample_0066.png,Character and Word Error Rate CER
images\sample_0067.png,Computer Vision Image Processing
images\sample_0068.png,x^2 + y^2 = z^2
images\sample_0069.png,PyTorch Deep Learning Pipeline
images\sample_0070.png,PyTorch Deep Learning Pipeline
images\sample_0071.png,Pattern Recognition Lab NMAMIT
images\sample_0072.png,Optical Character Recognition Engine
images\sample_0073.png,Computer Vision Image Processing
images\sample_0074.png,sum_{i=1}^n i = n(n+1)/2
images\sample_0075.png,A . B = A & B + C^2
images\sample_0076.png,Feature Map Extraction ResNet Backbone
images\sample_0077.png,Attention Mechanism for OCR
images\sample_0078.png,Self Supervised Learning 2026
images\sample_0079.png,Self Supervised Learning 2026
images\sample_0080.png,Document Image Machine Translation
images\sample_0081.png,Connectionist Temporal Classification
images\sample_0082.png,Computer Vision Image Processing
images\sample_0083.png,lim_{x->0} (sin x / x) = 1
images\sample_0084.png,d/dx (e^x) = e^x
images\sample_0085.png,a^2 + b^2 = c^2
images\sample_0086.png,Efficient Text Recognition System
images\sample_0087.png,Self Supervised Learning 2026
images\sample_0088.png,Computer Vision Image Processing
images\sample_0089.png,sum_{i=1}^n i = n(n+1)/2
images\sample_0090.png,Connectionist Temporal Classification
images\sample_0091.png,Bidirectional LSTM Sequence Model
images\sample_0092.png,a^2 + b^2 = c^2
images\sample_0093.png,Convolutional Neural Network Architecture
images\sample_0094.png,Pattern Recognition Lab NMAMIT
images\sample_0095.png,Attention Mechanism for OCR
images\sample_0096.png,Bidirectional LSTM Sequence Model
images\sample_0097.png,Deep Learning Major Project
images\sample_0098.png,E = m * c ^ 2
images\sample_0099.png,d/dx (e^x) = e^x
images\sample_0100.png,sum_{i=1}^n i = n(n+1)/2
images\sample_0101.png,Self Supervised Learning 2026
images\sample_0102.png,d/dx (e^x) = e^x
images\sample_0103.png,Document Image Machine Translation
images\sample_0104.png,d/dx (e^x) = e^x
images\sample_0105.png,Convolutional Neural Network Architecture
images\sample_0106.png,Deep Learning Major Project
images\sample_0107.png,x^2 + y^2 = z^2
images\sample_0108.png,Self Supervised Learning 2026
images\sample_0109.png,a^2 + b^2 = c^2
images\sample_0110.png,Computer Vision Image Processing
images\sample_0111.png,Bidirectional LSTM Sequence Model
images\sample_0112.png,Optical Character Recognition Engine
images\sample_0113.png,sum_{i=1}^n i = n(n+1)/2
images\sample_0114.png,Document Image Machine Translation
images\sample_0115.png,Feature Map Extraction ResNet Backbone
images\sample_0116.png,Information Science and Engineering
images\sample_0117.png,a^2 + b^2 = c^2
images\sample_0118.png,Computer Vision Image Processing
images\sample_0119.png,Convolutional Neural Network Architecture
images\sample_0120.png,Convolutional Neural Network Architecture
images\sample_0121.png,x^2 + y^2 = z^2
images\sample_0122.png,Convolutional Neural Network Architecture
images\sample_0123.png,PyTorch Deep Learning Pipeline
images\sample_0124.png,Feature Map Extraction ResNet Backbone
images\sample_0125.png,Optical Character Recognition Engine
images\sample_0126.png,E = m * c ^ 2
images\sample_0127.png,Convolutional Neural Network Architecture
images\sample_0128.png,Optical Character Recognition Engine
images\sample_0129.png,Convolutional Neural Network Architecture
images\sample_0130.png,Self Supervised Learning 2026
images\sample_0131.png,Computer Vision Image Processing
images\sample_0132.png,Attention Mechanism for OCR
images\sample_0133.png,A . B = A & B + C^2
images\sample_0134.png,Document Image Machine Translation
images\sample_0135.png,d/dx (e^x) = e^x
images\sample_0136.png,x^2 + y^2 = z^2
images\sample_0137.png,Computer Vision Image Processing
images\sample_0138.png,Convolutional Neural Network Architecture
images\sample_0139.png,a^2 + b^2 = c^2
images\sample_0140.png,lim_{x->0} (sin x / x) = 1
images\sample_0141.png,A . B = A & B + C^2
images\sample_0142.png,Pattern Recognition Lab NMAMIT
images\sample_0143.png,Connectionist Temporal Classification
images\sample_0144.png,Document Image Machine Translation
images\sample_0145.png,PyTorch Deep Learning Pipeline
images\sample_0146.png,Feature Map Extraction ResNet Backbone
images\sample_0147.png,Bidirectional LSTM Sequence Model
images\sample_0148.png,Document Image Machine Translation
images\sample_0149.png,sum_{i=1}^n i = n(n+1)/2
