image_path,label,split,category
images\train_00151ef02b28f1a2.png,(\begin{matrix}0&-1\\ 1&0\end{matrix}),train,mathwriting
images\train_001540691746d440.png,T_{r}/T_{c},train,mathwriting
images\train_00154114d98e3ac6.png,((\frac{7}{\sqrt{3}}+8)/197+87),train,mathwriting
images\train_0015d6bd631a88db.png,\frac{234+419\cdot7}{(215+479)},train,mathwriting
images\train_0015fc5ea0f1ba26.png,-\sqrt{E_{b}}\phi(t),train,mathwriting
images\train_001654a4f04b8938.png,-r^{2}f(r),train,mathwriting
images\train_0016c43128ca12ae.png,[\begin{matrix}-1\\ 1\end{matrix}],train,mathwriting
images\train_0016e50cac6c71da.png,(\begin{matrix}n\\ 2\end{matrix})p,train,mathwriting
images\train_0016e75661823f89.png,c_{1}=\frac{\hat{X}[1]-c_{0}}{1-z_{0}z_{1}^{-1}},train,mathwriting
images\train_0016feeda06f2bd2.png,\int sin(x)e^{x}dx,train,mathwriting
images\train_00176fbbdb57b68a.png,m=\frac{ln(F/K)}{\sigma\sqrt{\tau}},train,mathwriting
images\train_00179390bfb7714e.png,(\begin{matrix}n\\ n\end{matrix}),train,mathwriting
images\train_00179c3a8790683f.png,"\sigma_{n}^{2}=\frac{M_{2,n}}{n}",train,mathwriting
images\train_0017f2505e2a8ce9.png,"max_{a\in R^{d},||a||=1}\langle a,Va\rangle",train,mathwriting
images\train_00181075e895916b.png,1-1\sqrt{2}=-0.41421...,train,mathwriting
images\train_00182b6dab9da7a9.png,v_{0}-\frac{p}{m_{1}},train,mathwriting
images\train_00184ef14748a8d6.png,-\frac{\pi}{T}<\omega<+\frac{\pi}{T},train,mathwriting
images\train_00189476f651172a.png,(228-346-3)+(\frac{406}{8}-2),train,mathwriting
images\train_0018c52961c51623.png,\int_{X}dxf(x),train,mathwriting
images\train_0018f24943dc3a6d.png,\frac{\frac{64}{252}}{(\frac{3}{\sqrt{10}})^{476}},train,mathwriting
images\train_001968b41d7a2a5e.png,\tilde{G}_{2},train,mathwriting
images\train_00199521551168b4.png,Y_{i2}^{2}=Y^{2}+\frac{Y}{Z},train,mathwriting
images\train_0019e071c44ec6db.png,S_{g}S_{h}=S_{gh},train,mathwriting
images\train_001a10b7020f1648.png,\hat{v},train,mathwriting
images\train_001ade3fc20c6023.png,1+2\lceil2logn\rceil,train,mathwriting
images\train_001b24d7961c0250.png,\lambda\sqrt{p}>(p^{1/4}+1)^{2},train,mathwriting
images\train_001b7f33a2bc97cf.png,P^{\alpha\dot{\beta}}=T^{\alpha\dot{\beta}},train,mathwriting
images\train_001bd3c0fcc3e969.png,x^{2}+\sqrt{x}-14=0,train,mathwriting
images\train_001c75031d2f1b4e.png,v=\frac{E_{i}}{\omega}(1+\frac{2}{\gamma^{2}}),train,mathwriting
images\train_001cd3e5d48795f8.png,\frac{\frac{\frac{\sqrt{352}}{\sqrt{111}}}{7}}{{4^{336}}^{294}},train,mathwriting
images\train_001d283588dfa718.png,"k=1,2",train,mathwriting
images\train_001d4a58ade080ad.png,[\begin{matrix}1&2\\ 1&1\end{matrix}],train,mathwriting
images\train_001daaef0125176b.png,80^{80^{80^{80^{...}}}},train,mathwriting
images\train_001df2cb90f05776.png,{k^{l}}^{f},train,mathwriting
images\train_001e24c5e9f2d1d6.png,P_{cr}=\alpha\frac{\lambda^{2}}{4\pi n_{0}n_{2}},train,mathwriting
images\train_001e284c1c22fd3d.png,rN(1-\frac{N}{K})=H,train,mathwriting
images\train_001e28a505c83359.png,\frac{16}{5}\sqrt{\frac{2}{7\pi}},train,mathwriting
images\train_001e35e5192e71b8.png,\int_{-r}^{r}|y-s|dx,train,mathwriting
images\train_001ea39cc64103db.png,a^{a^{-^{-^{a^{a}}}}},train,mathwriting
images\train_001ec4c3972734f5.png,H_{(1-X)}=\frac{\beta-1}{2\beta-1},train,mathwriting
images\train_001ec8217428b573.png,Re_{p},train,mathwriting
images\train_001edc715205b281.png,<<<,train,mathwriting
images\train_001fbf6705912a65.png,\tilde{\gamma}(0)=p,train,mathwriting
images\train_00201d421de15e75.png,x\leftarrow x+0,train,mathwriting
images\train_0020214d39489a06.png,E=\frac{sc^{9}}{\sqrt{1+\frac{d^{9}}{c^{9}}}},train,mathwriting
images\train_002028badcc0a910.png,w_{1}^{i}=\frac{1}{N},train,mathwriting
images\train_00206363645d51b8.png,"(t,y)\in[0,T]\times R^{m}",train,mathwriting
images\train_0020f62a652b7ade.png,V=\frac{E*G*U}{O*R},train,mathwriting
images\train_002115ea86c132d5.png,\partial^{2}f/\partial x^{2},train,mathwriting
images\train_002135d6f617f487.png,\int_{c(r)}R(z)dz=0,train,mathwriting
images\train_00215a57ddbfeb55.png,H=kA\frac{T_{H}-T_{L}}{L},train,mathwriting
images\train_0021846124835296.png,(\begin{matrix}4\\ 2\end{matrix})=6,train,mathwriting
images\train_00218b2789863031.png,"\nu,\mu",train,mathwriting
images\train_00219f9279a29e24.png,\overline{O_{L}P},train,mathwriting
images\train_0021af3efdeb11f9.png,{{3^{\sqrt{9}}}^{468}}^{(\frac{431}{38})^{7}},train,mathwriting
images\train_002230bb31dc5728.png,\frac{\frac{7}{167}}{(454^{7}+6)},train,mathwriting
images\train_002377a6dd2c3f2d.png,n\cdot sin(\frac{1}{n}),train,mathwriting
images\train_00243a7f6ce804e6.png,"\beta<min(R,2\sqrt{R})",train,mathwriting
images\train_00247d853ee3e7f4.png,t=\frac{e}{s_{e}},train,mathwriting
images\train_0024a3c3355c974e.png,\nabla B_{z}=\frac{dB_{z}}{dA}\nabla A,train,mathwriting
images\train_0025980adb4f0ea4.png,M=(\begin{matrix}0&0\\ 1&0\end{matrix}),train,mathwriting
images\train_00269f2f43a4f7a8.png,J=-M(\frac{d}{dx})\frac{df}{dc},train,mathwriting
images\train_002708879bc6168f.png,\frac{b-a}{2}(f_{0}+f_{1}),train,mathwriting
images\train_00277f25659d617b.png,\mu(\tilde{X}\cap\tilde{Y})=0,train,mathwriting
images\train_00278a7c09f0fa84.png,\frac{dV_{r}}{dt},train,mathwriting
images\train_0027a65fd5f29943.png,"exp(m,n)=m^{n}",train,mathwriting
images\train_0028445e8b8d9c9d.png,-2x+5<x+3,train,mathwriting
images\train_002874c6284541c5.png,i_{1}^{\prime}=\frac{i_{1}\cdot vt_{1}}{\sqrt{1\cdot\frac{v^{8}}{n^{8}}}},train,mathwriting
images\train_002911cf7c0e8fcb.png,"\underline{x}=(x_{1},...,x_{d})",train,mathwriting
images\train_002946bfef94228f.png,\psi\rightarrow\varphi,train,mathwriting
images\train_002a7e32a88eba46.png,(\begin{matrix}m+n\\ m\end{matrix}),train,mathwriting
images\train_002abe421dcea4a4.png,{7^{112}}^{\frac{\sqrt{5}}{\sqrt{10}}},train,mathwriting
images\train_002aebbe15848f08.png,\sqrt{g/l},train,mathwriting
images\train_002b03f369cbf37a.png,(\begin{matrix}x\\ k\end{matrix}),train,mathwriting
images\train_002b556b492dc0f9.png,K/BB=\frac{K}{BB},train,mathwriting
images\train_002b81122bbd555b.png,\sqrt{m},train,mathwriting
images\train_002b8eed3f910b14.png,[\begin{matrix}3&4&4\\ 4&5\\ 6&7\end{matrix}],train,mathwriting
images\train_002b948f1376592f.png,q=K\sqrt{p},train,mathwriting
images\train_002bead60b5e1e8f.png,x^{n-m}=\frac{x^{n}}{x^{m}},train,mathwriting
images\train_002cf3be58f4b524.png,[\begin{matrix}ac\\ bd\\ 0\end{matrix}],train,mathwriting
images\train_002d65feee6d6ea0.png,\hat{q}_{o},train,mathwriting
images\train_002d76a8701a7536.png,|x[n]|,train,mathwriting
images\train_002dc6ca867cebc1.png,O(\sqrt{logn_{i-1}}),train,mathwriting
images\train_002dc95aa246d6d3.png,1-\frac{2}{\sqrt{5}},train,mathwriting
images\train_002e043b378fcd74.png,{238^{412}}^{\frac{132^{246}}{293}},train,mathwriting
images\train_002e3654ccc00e43.png,a\cdot\frac{m}{s}:=\frac{am}{s},train,mathwriting
images\train_002e43a297cdf063.png,(x)O(\underline{x}:G),train,mathwriting
images\train_002e5dffa0a6b7ad.png,\theta=\theta_{o},train,mathwriting
images\train_002e60ace3dcf5ae.png,\tilde{X}=f(Y),train,mathwriting
images\train_002e6c42ee8a3032.png,\frac{dS}{dt}=N\cdot v,train,mathwriting
images\train_002f166b9799d984.png,II_{\infty},train,mathwriting
images\train_002f2501b6237d46.png,\sqrt{\frac{5}{126}},train,mathwriting
images\train_002f5ad07f82d0f5.png,(\begin{matrix}k-1\\ D-1\end{matrix}),train,mathwriting
images\train_00304cc925245853.png,\int_{S}FdS,train,mathwriting
images\train_0030c91cb9f0f166.png,\frac{\partial logB_{\nu}(T)}{\partial log\nu}\simeq2,train,mathwriting
images\train_0030e3da579f9ae8.png,e^{j\omega t},train,mathwriting
images\train_00312a6b81d6e64b.png,z=\frac{h}{\sqrt[8]{\cdot\frac{u_{1}}{5}}},train,mathwriting
images\train_00314906c1c993d2.png,{\prod_{i}}^{\prime}G_{i},train,mathwriting
images\train_0031acba6857269f.png,s\{\begin{matrix}3\\ 3\end{matrix}\},train,mathwriting
images\train_0031b4d1b0febf74.png,A_{0}=aA^{*},train,mathwriting
images\train_003216f5859e3d6e.png,(\frac{\frac{3}{492}}{149})^{{6^{202}}^{8}},train,mathwriting
images\train_0032522af22a45a5.png,368+8-\frac{483}{\sqrt{206}},train,mathwriting
images\train_0032b37cbd8fbbef.png,p=\frac{RT}{\underline{V}},train,mathwriting
images\train_0032f911c76cf848.png,\frac{m}{\sqrt{5-\frac{y^{8}}{c^{8}}}},train,mathwriting
images\train_00330410630018f4.png,3\sqrt{2},train,mathwriting
images\train_00333fa03cc27707.png,\frac{\frac{\frac{3}{\sqrt{1}}}{447}}{4^{7}},train,mathwriting
images\train_0033c785a741d901.png,g(x)=5\sqrt{x},train,mathwriting
images\train_0034431789887edb.png,{\sqrt{6}+333^{10}}^{{9^{140}}^{10}},train,mathwriting
images\train_0034597d549e13cb.png,\Rightarrow b=\frac{n}{2n-1},train,mathwriting
images\train_0034ae2b4ced0aae.png,\frac{D_{\odot}^{2}}{2\mu_{0}r_{c}^{6}}=nmv^{2},train,mathwriting
images\train_0034eedc982f65cb.png,g=(\begin{matrix}A&B\\ C&D\end{matrix}),train,mathwriting
images\train_0034f8a0f7d74d02.png,\hat{\nu}_{i},train,mathwriting
images\train_00353d603817fbb8.png,2(\begin{matrix}n\\ j\end{matrix}),train,mathwriting
images\train_003550f3003f38f7.png,r_{N}^{k}(m)<cn^{\frac{N}{k}-1},train,mathwriting
images\train_00355b186a50a2f2.png,\frac{\partial X_{i}}{\partial P_{Y}}>0,train,mathwriting
images\train_0035f266d1df31e1.png,1-C^{2},train,mathwriting
images\train_0035f8f41dcb71e5.png,\hat{\beta}=(\overline{y/x}),train,mathwriting
images\train_00364219afad1b29.png,C/D\ge20,train,mathwriting
images\train_00367759ae90c0ad.png,(\begin{matrix}4\\ 2\end{matrix}),train,mathwriting
images\train_0036d8c0b91358c2.png,\frac{du}{dy},train,mathwriting
images\train_00373fdac871c875.png,\frac{mn(n+1)}{mn(n+1)+2np},train,mathwriting
images\train_00374250ed130982.png,2^{2^{2^{2^{74}}}},train,mathwriting
images\train_00378ff3af63af33.png,\frac{3}{2}\frac{F}{V_{0}},train,mathwriting
images\train_003848a170f3b943.png,"L(s,E)=\prod_{p}L_{p}(s,E)^{-1}",train,mathwriting
images\train_003853a58e3d5a91.png,y=\sqrt[3]{x},train,mathwriting
images\train_0038a2e3644b182c.png,"\sigma(t)=(\frac{1}{1-t},0)",train,mathwriting
images\train_003907ea0d4ff5df.png,\frac{(\frac{9}{6}+309)}{\frac{10}{10}},train,mathwriting
images\train_003939fb3699dd95.png,\frac{6(90-\pi^{4})}{5(\pi^{2}-6)^{2}},train,mathwriting
images\train_003945936248f448.png,"X\sim Benini(\alpha,0,\sigma)",train,mathwriting
images\train_00399e1081f27f06.png,M=(\begin{matrix}1&-1\\ 0&0\end{matrix}),train,mathwriting
images\train_0039a6b904d24a6d.png,D=\frac{k_{B}T}{f},train,mathwriting
images\train_003a89aeb01a2843.png,f^{*}=min_{x\in R^{n}}\{f(x)\},train,mathwriting
images\train_003aa982ee78b0e5.png,"[x,x+\sqrt{2x}],x\ge2",train,mathwriting
images\train_003b6135448cb579.png,\sqrt{n_{1}n_{2}/(n_{1}+n_{2})}g,train,mathwriting
images\train_003bacc76ae4e64b.png,"\{0,9\}^{7^{7^{\aleph_{0}}}}",train,mathwriting
images\train_003d13dc78e8434c.png,l_{4}^{l_{2}^{l_{3}^{-^{-^{-}}}}},train,mathwriting
images\train_003d71d72ab7273e.png,"f,g\in\pi_{n}(X,x_{0})",train,mathwriting
images\train_003e6fa5f4387282.png,n^{\underline{k}},train,mathwriting
images\train_003ebf3ba7f5e81b.png,"cov(X,Y)=\frac{1}{2}+\frac{1}{\pi}",train,mathwriting
images\train_003ee4a2b278b706.png,\eta_{mean}=\frac{\sum_{i}p_{i}t_{i}\eta_{i}}{\sum_{i}p_{i}t_{i}},train,mathwriting
images\train_003f260c4e9e26e0.png,0\le\underline{d}(\vec{X})\le\overline{d}(\vec{X})\le n,train,mathwriting
images\train_003f776fa12094ca.png,V=f(t)=V_{0}e^{-\frac{t}{\tau}},train,mathwriting
images\train_003ff3afd3719f1f.png,(\frac{N-1}{N}),train,mathwriting
images\train_004099078f90b1dd.png,41-164^{{3^{300}}^{6}},train,mathwriting
images\train_00412b9cea8d9a57.png,a=\frac{\sqrt{3}}{3},train,mathwriting
images\train_00414326e8d45016.png,distance=\frac{c\delta t}{2},train,mathwriting
images\train_0041b78521987ea3.png,\beta(g)=\lambda\frac{\partial g}{\partial\lambda},train,mathwriting
images\train_0042427d52f66cce.png,c_{\epsilon}^{\rho},train,mathwriting
images\train_0042adc7422e4c17.png,2y\frac{dy}{dx}=3x^{2}-1,train,mathwriting
images\train_0042efb08dc66a78.png,\tilde{Y},train,mathwriting
images\train_00430200ea47c6be.png,(\begin{matrix}k\\ 2\end{matrix})=\frac{k(k-1)}{2},train,mathwriting
images\train_004378528ac8aab5.png,\int_{0}^{x}f(t)dt,train,mathwriting
images\train_0044e78f94f1e0af.png,"[F^{[l]},F^{[l^{\prime}]}]=0",train,mathwriting
images\train_0044ff3105c5bf2c.png,\hat{u},train,mathwriting
images\train_00457e3beef52191.png,"||p_{\sigma}||\in[0,\alpha\sqrt{n}]",train,mathwriting
images\train_004583f3918b5baf.png,b=a\sqrt{1-\epsilon^{2}},train,mathwriting
images\train_0045b615e639841f.png,"R=(0,w)\times(0,h)",train,mathwriting
images\train_0045b7dcdcc10ebd.png,\overline{V^{\prime}L},train,mathwriting
images\train_0045edc2a00696a2.png,(1-\frac{1}{e}),train,mathwriting
images\train_00461d23d9e36c43.png,(\frac{96}{387})^{\frac{10}{2}},train,mathwriting
images\train_00467c27c74f0a31.png,n\hat{F}_{n}(t),train,mathwriting
images\train_00469d1e38330631.png,\frac{48}{2(9+3)},train,mathwriting
images\train_00469e688b4629ee.png,"(\begin{matrix}50\\ 3\end{matrix})=19,600",train,mathwriting
images\train_0046a5c8a8ebe12b.png,dS=\frac{dQ}{T},train,mathwriting
images\train_004726b917d6cb40.png,\hat{w}_{2},train,mathwriting
images\train_00476afe1911003e.png,OB,train,mathwriting
images\train_00480e58878a96f0.png,A_{p}(\kappa)=\frac{I_{p/2}(\kappa)}{I_{p/2-1}(\kappa)},train,mathwriting
images\train_004843a12bab7db2.png,P=-(\frac{\partial F}{\partial V})_{T},train,mathwriting
images\train_00486d2b7696b3ac.png,"q(x,t)=\delta(\underline{x},t)-r(\underline{x},t)",train,mathwriting
images\train_0048b101712f9477.png,N=m_{w}g+T,train,mathwriting
images\train_0048ef34f29a00a6.png,\frac{df}{dz}=f,train,mathwriting
images\train_004910aaf0c407b0.png,p(0)=\sqrt{2\hbar\rho},train,mathwriting
images\train_004926cda5247a44.png,"\iint f(x,y)dxdy",train,mathwriting
images\train_004970a2ad0fcb27.png,\Phi=\int E(\hat{e}_{\angle}\cdot dA),train,mathwriting
images\train_0049ac848a65b314.png,||,train,mathwriting
images\train_004a6b5c90fb637f.png,"g(x)=min(\frac{x}{\alpha},1)",train,mathwriting
images\train_004b768b53440655.png,"\frac{1}{1},\frac{4}{2},\frac{10}{3},\frac{20}{4},...",train,mathwriting
images\train_004ba924d34ee721.png,\hat{D}=D,train,mathwriting
images\train_004bd224818016b6.png,\lambda_{0}=\frac{h}{m_{0}c}-,train,mathwriting
images\train_004bfc81e4a676d3.png,|\psi^{\prime}\rangle=U_{\alpha}|\psi\rangle,train,mathwriting
images\train_004ca82a54a7b8b1.png,[\begin{matrix}x^{\prime}\\ y^{\prime}\end{matrix}],train,mathwriting
images\train_004ce6572e83fc05.png,|\Omega\rangle,train,mathwriting
images\train_004d67c88d5bc561.png,\tilde{\omega},train,mathwriting
images\train_004dc447285c6f09.png,\frac{1}{\sqrt{1-x^{2}}},train,mathwriting
images\train_004ddc4953b158a0.png,\frac{dy}{dx},train,mathwriting
images\train_004e009b3853b987.png,J=[\begin{matrix}0&I\\ -I&0\end{matrix}],train,mathwriting
images\train_004e74b6cceed2dc.png,[\begin{matrix}-1\\ 1\end{matrix}],train,mathwriting
images\train_004ecb0368429a6b.png,x^{\frac{n+1}{2}}\notin Z/nZ,train,mathwriting
images\train_004fcf98a58c60c6.png,K_{\lambda g}=\frac{1}{\lambda}K_{g},train,mathwriting
images\train_0050385ff54765b8.png,\frac{1}{4n}p^{2}\cdot cot(\pi/n),train,mathwriting
images\train_0050464363a7d02d.png,q=\frac{1}{\sqrt{1\cdot\frac{v^{5}}{c^{5}}}}\xi,train,mathwriting
images\train_00509c3f4df2ae81.png,\frac{log_{e}(x)-log_{e}(a)}{log_{e}(b)-log_{e}(a)},train,mathwriting
images\train_0050e5d65fe4c6c8.png,\int\frac{1}{u}du,train,mathwriting
images\train_0051050d3ae21062.png,(\begin{matrix}u&&-v\\ v&&u\end{matrix}),train,mathwriting
images\train_00517d95d9be27b6.png,V=x^{2}+y^{2}+z^{2},train,mathwriting
images\train_005183848fbb4582.png,C,train,mathwriting
images\train_005240dff224e503.png,\varphi=\frac{3}{2}\eta,train,mathwriting
images\train_005280507bf77a14.png,u_{12}=\frac{z_{1}-z_{2}}{\sqrt{2}},train,mathwriting
images\train_0052ae19ccd26655.png,"S_{ab}=(\psi_{a}^{-},\psi_{b}^{+})",train,mathwriting
images\train_00531f3417af201d.png,e=\sqrt{1-(b/a)^{2}},train,mathwriting
images\train_0053236c2c93ca7a.png,x_{min},train,mathwriting
images\train_00533e51d1318659.png,s\{\begin{matrix}5\\ 4\end{matrix}\},train,mathwriting
images\train_00535d357b40d674.png,f(x)=\int_{a}^{x}g(t)dt,train,mathwriting
images\train_0053d2e7fe7f1b19.png,\forall\epsilon_{1}>0\exists k_{1},train,mathwriting
images\train_0053f4751a1d9065.png,[\frac{2n\pi}{3};\frac{2(n+1)\pi}{3}],train,mathwriting
images\train_0054984b97f4db67.png,"\{1,2,6,12\}",train,mathwriting
images\train_0054bca374360260.png,x^{-}=\frac{t-x}{\sqrt{2}},train,mathwriting
images\train_0055071e7d92c6d3.png,\overline{(\frac{\alpha}{\pi})_{3}}=(\frac{\overline{\alpha}}{\overline{\pi}})_{3},train,mathwriting
images\train_005552b6f3c2532b.png,W^{\mathbb{C}}\cong W\oplus\overline{W},train,mathwriting
images\train_005577a3adb560d1.png,S_{22}=\frac{-T_{21}}{T_{22}},train,mathwriting
images\train_0056232ec140f267.png,\hat{g},train,mathwriting
images\train_00562b4e0fffdf9b.png,\tilde{y}=\tilde{w}=h(\tilde{X})-\tilde{Y},train,mathwriting
images\train_005645eee0313ff8.png,\hat{x}_{1},train,mathwriting
images\train_0056be10bc3d4215.png,E^{g}[X|F_{t}]:=Y_{t},train,mathwriting
images\train_0056d10feb24b22a.png,S^{+}=T^{+},train,mathwriting
images\train_0058a2803ec98084.png,\frac{d^{2}y}{dt^{2}},train,mathwriting
images\train_00592b6249eb667d.png,\tilde{T}_{i}:G/G^{\prime}\rightarrow H_{i}/H_{i}^{\prime},train,mathwriting
images\train_0059490f718283b0.png,\sigma_{\overline{x}}=\frac{\sigma}{\sqrt{n}}\sqrt{\gamma_{2}},train,mathwriting
images\train_005981442638300b.png,\frac{\partial p}{\partial z}+\rho g=0,train,mathwriting
images\train_0059d5230b4c7d83.png,\sqrt{p}=\frac{b}{\sqrt{a}},train,mathwriting
images\train_005a00e263515939.png,\mathbb{Q},train,mathwriting
images\train_005a8007883b90e4.png,\frac{dB}{dG},train,mathwriting
images\train_005b3a9cefef9eef.png,\frac{\partial\rho}{\partial t}+\nabla\cdot(\rho\vec{v})=0,train,mathwriting
images\train_005b556b1c8a48b5.png,x+1\notin J,train,mathwriting
images\train_005b73671359b925.png,P_{L}=I_{R}^{2}\cdot ESR,train,mathwriting
images\train_005bbeae5efe2873.png,m\ge(\begin{matrix}k\\ 2\end{matrix}),train,mathwriting
images\train_005c6f61e95345c7.png,y_{t}=y_{t-1}+c+e_{t},train,mathwriting
images\train_005d2166215b337b.png,\hat{w}(f),train,mathwriting
images\train_005d23c0847389f5.png,\prod_{i=1}^{n},train,mathwriting
images\train_005d5085ee80004b.png,r<m<n,train,mathwriting
